Creation Date,Service Request Number,Street Address,Type of Service Request,Household Income in Past 12 Months,Estimate of Black Population,Estimate of White Population
03/29/2018,18-01065893,740 N CENTRAL AVE,Alley Light Out,273,981,6
03/29/2018,18-01077419,2745 E 130TH ST,Alley Light Out,236,0,509
03/29/2018,18-01077418,2745 E 130TH ST,Alley Light Out,236,0,509
03/29/2018,18-01077400,13352 S BRANDON AVE,Alley Light Out,499,340,739
03/29/2018,18-01077399,13352 S BRANDON AVE,Alley Light Out,499,340,739
03/29/2018,18-01077057,2531 N LUNA AVE,Alley Light Out,298,43,721
03/29/2018,18-01076961,825 E 52ND ST,Alley Light Out,703,1073,481
03/29/2018,18-01076708,4131 N BELL AVE,Alley Light Out,837,54,1753
03/29/2018,18-01075469,1954 W FARWELL AVE,Alley Light Out,722,338,1215
03/29/2018,18-01074407,5959 S KOSTNER AVE,Alley Light Out,321,0,1157
03/29/2018,18-01067016,127 E 122ND PL,Alley Light Out,264,888,0
03/29/2018,18-01068542,9055 S CARPENTER ST,Alley Light Out,366,1266,0
03/29/2018,18-01073424,711 N PAULINA ST,Alley Light Out,501,12,1126
03/29/2018,18-01073242,1747 N ROCKWELL ST,Alley Light Out,616,131,1298
03/29/2018,18-01072761,1869 N LEAVITT ST,Alley Light Out,411,31,914
03/29/2018,18-01072129,2315 W ADAMS ST,Alley Light Out,341,729,135
03/29/2018,18-01071937,6700 S CHAPPEL AVE,Alley Light Out,537,1132,17
03/29/2018,18-01071799,2800 W BELLE PLAINE AVE,Alley Light Out,611,96,1289
03/29/2018,18-01071744,2964 N WISNER AVE,Alley Light Out,637,103,1535
03/29/2018,18-01071446,9808 S ELLIS AVE,Alley Light Out,256,472,11
03/29/2018,18-01071074,5031 S LAWLER AVE,Alley Light Out,0,0,0
03/29/2018,18-01071059,5030 S LAVERGNE AVE,Alley Light Out,444,32,1036
03/29/2018,18-01070631,2221 N MARMORA AVE,Alley Light Out,679,308,1248
03/29/2018,18-01069968,3010 W DEVON AVE,Alley Light Out,911,172,1984
03/29/2018,18-01069569,707 E 38TH ST,Alley Light Out,637,1506,3
03/29/2018,18-01068013,741 E 105TH ST,Alley Light Out,579,1513,8
03/29/2018,18-01068707,6447 S KILPATRICK AVE,Alley Light Out,0,0,0
03/29/2018,18-01073891,4458 W JACKSON BLVD,Alley Light Out,539,1739,9
03/30/2018,18-01084883,9156 S GREENWOOD AVE,Vacant/Abandoned Building,338,982,0
03/30/2018,18-01081716,6834 S MORGAN ST,Vacant/Abandoned Building,234,786,12
03/30/2018,18-01086794,15 E 118TH PL,Vacant/Abandoned Building,362,547,373
03/30/2018,18-01079218,5940 W 63RD PL,Vacant/Abandoned Building,447,7,1022
03/30/2018,18-01079703,7729 S OGLESBY AVE,Vacant/Abandoned Building,589,1826,18
03/30/2018,18-01079773,8125 S PRINCETON AVE,Vacant/Abandoned Building,688,1632,0
03/30/2018,18-01082465,1725 N WOOD ST,Vacant/Abandoned Building,795,24,1384
03/30/2018,18-01082651,6956 S THROOP ST,Vacant/Abandoned Building,232,885,0
03/30/2018,18-01083117,4740 S MARSHFIELD AVE,Vacant/Abandoned Building,156,77,345
03/30/2018,18-01083734,11630 S WALLACE ST,Vacant/Abandoned Building,339,1012,0
03/30/2018,18-01084047,9150 S PERRY AVE,Vacant/Abandoned Building,230,641,0
03/30/2018,18-01084365,214 E 68TH ST,Vacant/Abandoned Building,284,764,0
03/30/2018,18-01084532,8401 S WABASH AVE,Vacant/Abandoned Building,361,813,0
03/30/2018,18-01085563,32 S WHIPPLE ST,Vacant/Abandoned Building,359,1189,47
03/29/2018,18-01076001,400 E 113TH ST,Vacant/Abandoned Building,380,721,0
03/29/2018,18-01076026,7810 S ELLIS AVE,Vacant/Abandoned Building,0,0,0
03/29/2018,18-01076762,5307 S MARSHFIELD AVE,Vacant/Abandoned Building,465,742,550
03/29/2018,18-01073973,1911 W WOLFRAM ST,Vacant/Abandoned Building,671,45,1414
,,,,,,
,,,,Household Income in Past 12 Months,Estimate of Black Population,Estimate of White Population
,,,Sum for Alley Lights Out,33431,34391,46680
,,,Sum for Vacant/Abandoned Buildings,6930,12693,5165
,,,,,,
,,,Average for Alley Lights Out,457.9589041,471.109589,639.4520548
,,,Average for Vacant/Abandoned Buildings,407.6470588,746.6470588,303.8235294
